                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3811,                 1.2019,                 1.3092,                0.77914,                0.71734,                 0.7715,                0.50121,                 1.2597,                0.93466,                 1.2112,               0.006733,               0.006733,               0.006733
                     35,                 1.3711,                 1.1938,                 1.2951,                0.79133,                 0.7036,                0.77265,                0.50117,                 1.2644,                0.95734,                 1.2203,               0.006634,               0.006634,               0.006634
                     36,                 1.3651,                 1.1817,                 1.3098,                 0.7769,                0.68301,                0.75394,                0.48426,                 1.3157,                0.99838,                 1.2382,               0.006535,               0.006535,               0.006535
                     37,                 1.3454,                 1.1506,                 1.2963,                0.80677,                 0.7043,                0.77852,                0.51896,                 1.2353,                 0.9244,                 1.1924,               0.006436,               0.006436,               0.006436
                     38,                 1.3364,                 1.1343,                 1.2858,                0.82922,                0.73308,                0.79868,                0.54109,                 1.2027,                0.86632,                 1.1694,               0.006337,               0.006337,               0.006337
                     39,                 1.3151,                 1.1046,                 1.2716,                0.83518,                0.73379,                0.80392,                0.54402,                 1.1717,                0.86754,                 1.1545,               0.006238,               0.006238,               0.006238
                     40,                  1.313,                 1.0969,                 1.2721,                0.81055,                0.74111,                0.80018,                0.53644,                 1.1981,                0.87011,                  1.171,               0.006139,               0.006139,               0.006139
                     41,                 1.3158,                 1.1021,                 1.2528,                0.84605,                0.73717,                0.81427,                0.55074,                 1.1692,                0.84152,                 1.1498,                0.00604,                0.00604,                0.00604
                     42,                 1.3026,                 1.0709,                 1.2626,                0.83167,                0.73913,                0.80479,                0.54421,                 1.1619,                0.83528,                 1.1318,               0.005941,               0.005941,               0.005941
                     43,                 1.2853,                 1.0516,                 1.2446,                0.86873,                0.76104,                0.83494,                0.56755,                  1.144,                0.78398,                 1.1272,               0.005842,               0.005842,               0.005842
                     44,                 1.2768,                 1.0617,                 1.2449,                0.84603,                0.75358,                0.82843,                0.56938,                 1.1486,                0.79407,                 1.1409,               0.005743,               0.005743,               0.005743
